frquency,impedance,wine_id,wine_name,Unnamed: 10,类别,类别编码
20,2016,1,江小白果立方,,白酒,2
21,2012,1,江小白果立方,,白酒,2
22,2005,1,江小白果立方,,白酒,2
23,2011,1,江小白果立方,,白酒,2
24,2023,1,江小白果立方,,白酒,2
25,2009,1,江小白果立方,,白酒,2
26,2002,1,江小白果立方,,白酒,2
27,2014,1,江小白果立方,,白酒,2
28,2018,1,江小白果立方,,白酒,2
29,2012,1,江小白果立方,,白酒,2
30,2006,1,江小白果立方,,白酒,2
32,2009,1,江小白果立方,,白酒,2
33,2012,1,江小白果立方,,白酒,2
34,2016,1,江小白果立方,,白酒,2
35,2010,1,江小白果立方,,白酒,2
36,2006,1,江小白果立方,,白酒,2
37,2014,1,江小白果立方,,白酒,2
38,2015,1,江小白果立方,,白酒,2
39,2008,1,江小白果立方,,白酒,2
40,2005,1,江小白果立方,,白酒,2
41,2013,1,江小白果立方,,白酒,2
43,2016,1,江小白果立方,,白酒,2
44,2007,1,江小白果立方,,白酒,2
45,2006,1,江小白果立方,,白酒,2
46,2006,1,江小白果立方,,白酒,2
47,2012,1,江小白果立方,,白酒,2
51,2007,1,江小白果立方,,白酒,2
52,2005,1,江小白果立方,,白酒,2
53,2004,1,江小白果立方,,白酒,2
54,2009,1,江小白果立方,,白酒,2
61,2034,1,江小白果立方,,白酒,2
62,2056,1,江小白果立方,,白酒,2
63,2060,1,江小白果立方,,白酒,2
64,2033,1,江小白果立方,,白酒,2
65,2000,1,江小白果立方,,白酒,2
66,1999,1,江小白果立方,,白酒,2
67,2011,1,江小白果立方,,白酒,2
68,2008,1,江小白果立方,,白酒,2
69,1999,1,江小白果立方,,白酒,2
70,1991,1,江小白果立方,,白酒,2
71,1990,1,江小白果立方,,白酒,2
72,1993,1,江小白果立方,,白酒,2
73,1998,1,江小白果立方,,白酒,2
74,2001,1,江小白果立方,,白酒,2
75,2004,1,江小白果立方,,白酒,2
76,2006,1,江小白果立方,,白酒,2
77,2006,1,江小白果立方,,白酒,2
79,2004,1,江小白果立方,,白酒,2
80,1998,1,江小白果立方,,白酒,2
81,1994,1,江小白果立方,,白酒,2
82,1990,1,江小白果立方,,白酒,2
83,1990,1,江小白果立方,,白酒,2
84,1992,1,江小白果立方,,白酒,2
85,1997,1,江小白果立方,,白酒,2
86,2001,1,江小白果立方,,白酒,2
87,2007,1,江小白果立方,,白酒,2
88,2011,1,江小白果立方,,白酒,2
89,2012,1,江小白果立方,,白酒,2
93,1991,1,江小白果立方,,白酒,2
94,1988,1,江小白果立方,,白酒,2
95,1988,1,江小白果立方,,白酒,2
96,1991,1,江小白果立方,,白酒,2
99,2009,1,江小白果立方,,白酒,2
100,2011,1,江小白果立方,,白酒,2
101,2008,1,江小白果立方,,白酒,2
102,2003,1,江小白果立方,,白酒,2
103,1999,1,江小白果立方,,白酒,2
104,1995,1,江小白果立方,,白酒,2
105,1995,1,江小白果立方,,白酒,2
106,1997,1,江小白果立方,,白酒,2
107,1999,1,江小白果立方,,白酒,2
108,2001,1,江小白果立方,,白酒,2
109,2002,1,江小白果立方,,白酒,2
110,2001,1,江小白果立方,,白酒,2
111,2000,1,江小白果立方,,白酒,2
112,2000,1,江小白果立方,,白酒,2
113,2000,1,江小白果立方,,白酒,2
114,1996,1,江小白果立方,,白酒,2
115,1993,1,江小白果立方,,白酒,2
116,1993,1,江小白果立方,,白酒,2
117,1995,1,江小白果立方,,白酒,2
118,1998,1,江小白果立方,,白酒,2
119,2003,1,江小白果立方,,白酒,2
120,2009,1,江小白果立方,,白酒,2
20,2000,1,江小白果立方,,白酒,2
21,1997,1,江小白果立方,,白酒,2
22,1997,1,江小白果立方,,白酒,2
24,1999,1,江小白果立方,,白酒,2
25,2000,1,江小白果立方,,白酒,2
26,1992,1,江小白果立方,,白酒,2
27,1998,1,江小白果立方,,白酒,2
28,2005,1,江小白果立方,,白酒,2
29,1998,1,江小白果立方,,白酒,2
30,1994,1,江小白果立方,,白酒,2
31,1997,1,江小白果立方,,白酒,2
32,1998,1,江小白果立方,,白酒,2
33,2000,1,江小白果立方,,白酒,2
34,2002,1,江小白果立方,,白酒,2
35,1997,1,江小白果立方,,白酒,2
36,1994,1,江小白果立方,,白酒,2
38,2002,1,江小白果立方,,白酒,2
39,1999,1,江小白果立方,,白酒,2
40,1994,1,江小白果立方,,白酒,2
41,1999,1,江小白果立方,,白酒,2
42,2003,1,江小白果立方,,白酒,2
43,2000,1,江小白果立方,,白酒,2
44,1994,1,江小白果立方,,白酒,2
45,1994,1,江小白果立方,,白酒,2
46,1998,1,江小白果立方,,白酒,2
47,2002,1,江小白果立方,,白酒,2
51,1997,1,江小白果立方,,白酒,2
52,1997,1,江小白果立方,,白酒,2
53,1998,1,江小白果立方,,白酒,2
61,1998,1,江小白果立方,,白酒,2
62,2001,1,江小白果立方,,白酒,2
63,2001,1,江小白果立方,,白酒,2
64,1999,1,江小白果立方,,白酒,2
65,1997,1,江小白果立方,,白酒,2
66,1997,1,江小白果立方,,白酒,2
67,2000,1,江小白果立方,,白酒,2
68,2003,1,江小白果立方,,白酒,2
69,2000,1,江小白果立方,,白酒,2
70,1997,1,江小白果立方,,白酒,2
71,1993,1,江小白果立方,,白酒,2
72,1992,1,江小白果立方,,白酒,2
73,1994,1,江小白果立方,,白酒,2
74,1997,1,江小白果立方,,白酒,2
75,2001,1,江小白果立方,,白酒,2
76,2004,1,江小白果立方,,白酒,2
77,2004,1,江小白果立方,,白酒,2
78,2004,1,江小白果立方,,白酒,2
80,1997,1,江小白果立方,,白酒,2
81,1995,1,江小白果立方,,白酒,2
82,1991,1,江小白果立方,,白酒,2
83,1990,1,江小白果立方,,白酒,2
84,1991,1,江小白果立方,,白酒,2
85,1995,1,江小白果立方,,白酒,2
86,2000,1,江小白果立方,,白酒,2
87,2005,1,江小白果立方,,白酒,2
88,2008,1,江小白果立方,,白酒,2
89,2008,1,江小白果立方,,白酒,2
93,1989,1,江小白果立方,,白酒,2
94,1990,1,江小白果立方,,白酒,2
95,1993,1,江小白果立方,,白酒,2
100,2002,1,江小白果立方,,白酒,2
101,1998,1,江小白果立方,,白酒,2
102,1996,1,江小白果立方,,白酒,2
103,1996,1,江小白果立方,,白酒,2
104,1998,1,江小白果立方,,白酒,2
105,2000,1,江小白果立方,,白酒,2
106,2002,1,江小白果立方,,白酒,2
107,2001,1,江小白果立方,,白酒,2
108,2001,1,江小白果立方,,白酒,2
109,1998,1,江小白果立方,,白酒,2
110,1995,1,江小白果立方,,白酒,2
111,1996,1,江小白果立方,,白酒,2
112,1997,1,江小白果立方,,白酒,2
113,1998,1,江小白果立方,,白酒,2
114,1998,1,江小白果立方,,白酒,2
115,1996,1,江小白果立方,,白酒,2
116,1997,1,江小白果立方,,白酒,2
117,1996,1,江小白果立方,,白酒,2
118,1997,1,江小白果立方,,白酒,2
119,1999,1,江小白果立方,,白酒,2
120,2001,1,江小白果立方,,白酒,2
20,1999,1,江小白果立方,,白酒,2
21,1995,1,江小白果立方,,白酒,2
22,1995,1,江小白果立方,,白酒,2
23,2000,1,江小白果立方,,白酒,2
24,1999,1,江小白果立方,,白酒,2
25,1999,1,江小白果立方,,白酒,2
26,1991,1,江小白果立方,,白酒,2
27,1996,1,江小白果立方,,白酒,2
28,2004,1,江小白果立方,,白酒,2
30,1993,1,江小白果立方,,白酒,2
31,1997,1,江小白果立方,,白酒,2
32,1997,1,江小白果立方,,白酒,2
33,1999,1,江小白果立方,,白酒,2
34,1999,1,江小白果立方,,白酒,2
35,1996,1,江小白果立方,,白酒,2
36,1993,1,江小白果立方,,白酒,2
37,1997,1,江小白果立方,,白酒,2
38,2001,1,江小白果立方,,白酒,2
39,1997,1,江小白果立方,,白酒,2
40,1994,1,江小白果立方,,白酒,2
41,1998,1,江小白果立方,,白酒,2
42,2001,1,江小白果立方,,白酒,2
43,1999,1,江小白果立方,,白酒,2
44,1993,1,江小白果立方,,白酒,2
45,1992,1,江小白果立方,,白酒,2
46,1997,1,江小白果立方,,白酒,2
47,2001,1,江小白果立方,,白酒,2
51,1995,1,江小白果立方,,白酒,2
52,1996,1,江小白果立方,,白酒,2
53,1996,1,江小白果立方,,白酒,2
61,1997,1,江小白果立方,,白酒,2
62,2000,1,江小白果立方,,白酒,2
63,2001,1,江小白果立方,,白酒,2
64,1998,1,江小白果立方,,白酒,2
65,1996,1,江小白果立方,,白酒,2
66,1996,1,江小白果立方,,白酒,2
67,1999,1,江小白果立方,,白酒,2
68,2002,1,江小白果立方,,白酒,2
69,1999,1,江小白果立方,,白酒,2
70,1996,1,江小白果立方,,白酒,2
71,1992,1,江小白果立方,,白酒,2
72,1990,1,江小白果立方,,白酒,2
73,1993,1,江小白果立方,,白酒,2
74,1996,1,江小白果立方,,白酒,2
75,2000,1,江小白果立方,,白酒,2
76,2003,1,江小白果立方,,白酒,2
77,2003,1,江小白果立方,,白酒,2
78,2002,1,江小白果立方,,白酒,2
79,2000,1,江小白果立方,,白酒,2
80,1996,1,江小白果立方,,白酒,2
81,1994,1,江小白果立方,,白酒,2
82,1991,1,江小白果立方,,白酒,2
83,1990,1,江小白果立方,,白酒,2
84,1990,1,江小白果立方,,白酒,2
85,1994,1,江小白果立方,,白酒,2
86,1999,1,江小白果立方,,白酒,2
87,2005,1,江小白果立方,,白酒,2
89,2007,1,江小白果立方,,白酒,2
93,1988,1,江小白果立方,,白酒,2
94,1989,1,江小白果立方,,白酒,2
95,1993,1,江小白果立方,,白酒,2
20,1989,1,江小白果立方,,白酒,2
21,2005,1,江小白果立方,,白酒,2
22,2010,1,江小白果立方,,白酒,2
23,1996,1,江小白果立方,,白酒,2
24,1992,1,江小白果立方,,白酒,2
25,1995,1,江小白果立方,,白酒,2
26,2003,1,江小白果立方,,白酒,2
27,2007,1,江小白果立方,,白酒,2
28,2000,1,江小白果立方,,白酒,2
29,1995,1,江小白果立方,,白酒,2
30,1998,1,江小白果立方,,白酒,2
31,1996,1,江小白果立方,,白酒,2
32,1996,1,江小白果立方,,白酒,2
33,2005,1,江小白果立方,,白酒,2
34,2007,1,江小白果立方,,白酒,2
35,1999,1,江小白果立方,,白酒,2
36,1993,1,江小白果立方,,白酒,2
37,1994,1,江小白果立方,,白酒,2
38,1999,1,江小白果立方,,白酒,2
39,2001,1,江小白果立方,,白酒,2
40,2002,1,江小白果立方,,白酒,2
41,2003,1,江小白果立方,,白酒,2
44,1995,1,江小白果立方,,白酒,2
46,1997,1,江小白果立方,,白酒,2
50,2000,1,江小白果立方,,白酒,2
51,1999,1,江小白果立方,,白酒,2
52,2000,1,江小白果立方,,白酒,2
56,1997,1,江小白果立方,,白酒,2
57,1996,1,江小白果立方,,白酒,2
61,2008,1,江小白果立方,,白酒,2
62,2007,1,江小白果立方,,白酒,2
63,2003,1,江小白果立方,,白酒,2
64,1995,1,江小白果立方,,白酒,2
65,1989,1,江小白果立方,,白酒,2
66,1988,1,江小白果立方,,白酒,2
67,1991,1,江小白果立方,,白酒,2
68,1999,1,江小白果立方,,白酒,2
69,2007,1,江小白果立方,,白酒,2
70,2011,1,江小白果立方,,白酒,2
71,2011,1,江小白果立方,,白酒,2
72,2006,1,江小白果立方,,白酒,2
73,2000,1,江小白果立方,,白酒,2
74,1996,1,江小白果立方,,白酒,2
75,1994,1,江小白果立方,,白酒,2
76,1994,1,江小白果立方,,白酒,2
77,1995,1,江小白果立方,,白酒,2
78,1996,1,江小白果立方,,白酒,2
79,1996,1,江小白果立方,,白酒,2
80,1998,1,江小白果立方,,白酒,2
81,1998,1,江小白果立方,,白酒,2
82,2002,1,江小白果立方,,白酒,2
83,2003,1,江小白果立方,,白酒,2
84,2005,1,江小白果立方,,白酒,2
85,2003,1,江小白果立方,,白酒,2
86,2003,1,江小白果立方,,白酒,2
87,2002,1,江小白果立方,,白酒,2
88,2000,1,江小白果立方,,白酒,2
89,1999,1,江小白果立方,,白酒,2
90,1995,1,江小白果立方,,白酒,2
95,1997,1,江小白果立方,,白酒,2
96,2000,1,江小白果立方,,白酒,2
97,2002,1,江小白果立方,,白酒,2
101,2004,1,江小白果立方,,白酒,2
102,2001,1,江小白果立方,,白酒,2
103,1999,1,江小白果立方,,白酒,2
104,1998,1,江小白果立方,,白酒,2
105,1997,1,江小白果立方,,白酒,2
106,1996,1,江小白果立方,,白酒,2
107,1995,1,江小白果立方,,白酒,2
108,1996,1,江小白果立方,,白酒,2
109,1996,1,江小白果立方,,白酒,2
110,1996,1,江小白果立方,,白酒,2
111,1996,1,江小白果立方,,白酒,2
112,1998,1,江小白果立方,,白酒,2
113,1999,1,江小白果立方,,白酒,2
114,2000,1,江小白果立方,,白酒,2
115,2002,1,江小白果立方,,白酒,2
116,2003,1,江小白果立方,,白酒,2
117,2005,1,江小白果立方,,白酒,2
118,2004,1,江小白果立方,,白酒,2
119,2005,1,江小白果立方,,白酒,2
120,2004,1,江小白果立方,,白酒,2
20,1989,1,江小白果立方,,白酒,2
21,2002,1,江小白果立方,,白酒,2
22,2006,1,江小白果立方,,白酒,2
23,1996,1,江小白果立方,,白酒,2
24,1991,1,江小白果立方,,白酒,2
25,1993,1,江小白果立方,,白酒,2
27,2006,1,江小白果立方,,白酒,2
28,1998,1,江小白果立方,,白酒,2
29,1994,1,江小白果立方,,白酒,2
30,1995,1,江小白果立方,,白酒,2
31,1994,1,江小白果立方,,白酒,2
32,1995,1,江小白果立方,,白酒,2
33,2003,1,江小白果立方,,白酒,2
34,2007,1,江小白果立方,,白酒,2
35,2001,1,江小白果立方,,白酒,2
36,1991,1,江小白果立方,,白酒,2
